,ratio,n_hits,name,automl name,did,automl did,MaxNominalAttDistinctValues,MaxNominalAttDistinctValues,NumberOfClasses,NumberOfClasses,NumberOfFeatures,NumberOfFeatures,NumberOfInstances,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfNumericFeatures,NumberOfSymbolicFeatures,NumberOfSymbolicFeatures
0,0.75,1,delta_elevators,space_ga,198,507,,,0.0,0.0,7.0,7.0,9517.0,3107.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
1,0.625,1,house_8L,house_16H,218,574,,,0.0,0.0,9.0,17.0,22784.0,22784.0,0.0,0.0,0.0,0.0,9.0,17.0,0.0,0.0
2,0.75,1,machine_cpu,space_ga,230,507,,,0.0,0.0,7.0,7.0,209.0,3107.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
3,0.75,1,us_crime,us_crime,315,42730,,,0.0,0.0,128.0,127.0,1994.0,1994.0,1871.0,1871.0,39202.0,39202.0,127.0,127.0,0.0,0.0
4,0.75,1,strikes,space_ga,549,507,,,0.0,0.0,7.0,7.0,625.0,3107.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
5,0.75,1,fri_c4_250_100,Yolanda,580,42705,,,0.0,0.0,101.0,101.0,250.0,400000.0,0.0,0.0,0.0,0.0,101.0,101.0,0.0,0.0
6,0.75,1,fri_c4_1000_100,Yolanda,588,42705,,,0.0,0.0,101.0,101.0,1000.0,400000.0,0.0,0.0,0.0,0.0,101.0,101.0,0.0,0.0
7,0.75,1,fri_c4_500_100,Yolanda,610,42705,,,0.0,0.0,101.0,101.0,500.0,400000.0,0.0,0.0,0.0,0.0,101.0,101.0,0.0,0.0
8,0.75,1,fri_c4_100_100,Yolanda,652,42705,,,0.0,0.0,101.0,101.0,100.0,400000.0,0.0,0.0,0.0,0.0,101.0,101.0,0.0,0.0
9,0.75,1,chscase_census6,space_ga,664,507,,,0.0,0.0,7.0,7.0,400.0,3107.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
10,0.75,1,disclosure_x_tampered,quake,676,550,,,0.0,0.0,4.0,4.0,662.0,2178.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
11,0.75,1,disclosure_z,quake,699,550,,,0.0,0.0,4.0,4.0,662.0,2178.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
12,0.75,1,disclosure_x_noise,quake,704,550,,,0.0,0.0,4.0,4.0,662.0,2178.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
13,0.75,1,disclosure_x_bias,quake,709,550,,,0.0,0.0,4.0,4.0,662.0,2178.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
14,0.75,1,SensIT-Vehicle-Combined,Yolanda,1593,42705,,,0.0,0.0,101.0,101.0,98528.0,400000.0,0.0,0.0,0.0,0.0,101.0,101.0,0.0,0.0
