,0,1,2,3,4,5
0,4,0.2222222222222222,auto_price,house_prices_nominal,195,42563
1,7,1.0,delta_elevators,elevators,198,216
2,3,0.16666666666666666,autoPrice,house_prices_nominal,207,42563
3,3,1.0,quake,quake,209,550
4,3,0.21428571428571427,house_8L,Brazilian_houses,218,42688
5,4,0.4444444444444444,house_8L,house_sales,218,42731
6,4,0.2222222222222222,house_8L,house_prices_nominal,218,42563
7,4,0.5714285714285714,house_8L,house_16H,218,574
8,6,1.0,us_crime,us_crime,315,42730
9,3,0.12,analcatdata_election2000,Santander_transaction_value,527,42572
10,4,0.2857142857142857,houses,Brazilian_houses,537,42688
11,3,0.3333333333333333,houses,house_sales,537,42731
12,3,0.16666666666666666,houses,house_prices_nominal,537,42563
13,3,0.42857142857142855,houses,house_16H,537,574
14,4,1.0,boston_corrected,boston,543,531
15,3,0.09090909090909091,Kaggle_bike_sharing_demand_challange,Mercedes_Benz_Greener_Manufacturing,1414,42570
16,8,0.8888888888888888,QSAR-TID-12276,QSAR-TID-11,3040,3050
17,8,0.6666666666666666,QSAR-TID-12276,QSAR-TID-10980,3040,3277
18,8,0.8888888888888888,QSAR-TID-12886,QSAR-TID-11,3042,3050
19,8,0.6666666666666666,QSAR-TID-12886,QSAR-TID-10980,3042,3277
20,8,0.8888888888888888,QSAR-TID-10113,QSAR-TID-11,3043,3050
21,9,0.75,QSAR-TID-10113,QSAR-TID-10980,3043,3277
22,8,0.8888888888888888,QSAR-TID-12514,QSAR-TID-11,3044,3050
23,8,0.6666666666666666,QSAR-TID-12514,QSAR-TID-10980,3044,3277
24,8,0.8888888888888888,QSAR-TID-17106,QSAR-TID-11,3045,3050
25,8,0.6666666666666666,QSAR-TID-17106,QSAR-TID-10980,3045,3277
26,8,0.8888888888888888,QSAR-TID-10878,QSAR-TID-11,3046,3050
27,9,0.75,QSAR-TID-10878,QSAR-TID-10980,3046,3277
28,8,0.8888888888888888,QSAR-TID-12949,QSAR-TID-11,3047,3050
29,8,0.6666666666666666,QSAR-TID-12949,QSAR-TID-10980,3047,3277
30,8,0.8888888888888888,QSAR-TID-12415,QSAR-TID-11,3048,3050
31,8,0.6666666666666666,QSAR-TID-12415,QSAR-TID-10980,3048,3277
32,8,0.8888888888888888,QSAR-TID-101506,QSAR-TID-11,3049,3050
33,9,0.75,QSAR-TID-101506,QSAR-TID-10980,3049,3277
34,7,0.7777777777777778,QSAR-TID-208,QSAR-TID-11,3051,3050
35,7,0.5833333333333334,QSAR-TID-208,QSAR-TID-10980,3051,3277
36,8,0.8888888888888888,QSAR-TID-10574,QSAR-TID-11,3052,3050
37,9,0.75,QSAR-TID-10574,QSAR-TID-10980,3052,3277
38,8,0.8888888888888888,QSAR-TID-18044,QSAR-TID-11,3053,3050
39,8,0.6666666666666666,QSAR-TID-18044,QSAR-TID-10980,3053,3277
40,8,0.8888888888888888,QSAR-TID-100140,QSAR-TID-11,3054,3050
41,9,0.75,QSAR-TID-100140,QSAR-TID-10980,3054,3277
42,8,0.8888888888888888,QSAR-TID-100951,QSAR-TID-11,3056,3050
43,9,0.75,QSAR-TID-100951,QSAR-TID-10980,3056,3277
44,8,0.8888888888888888,QSAR-TID-10444,QSAR-TID-11,3058,3050
45,9,0.75,QSAR-TID-10444,QSAR-TID-10980,3058,3277
46,8,0.8888888888888888,QSAR-TID-101557,QSAR-TID-11,3059,3050
47,9,0.75,QSAR-TID-101557,QSAR-TID-10980,3059,3277
48,9,1.0,QSAR-TID-11556,QSAR-TID-11,3060,3050
49,8,0.6666666666666666,QSAR-TID-11556,QSAR-TID-10980,3060,3277
50,8,0.8888888888888888,QSAR-TID-17081,QSAR-TID-11,3061,3050
51,8,0.6666666666666666,QSAR-TID-17081,QSAR-TID-10980,3061,3277
52,8,0.8888888888888888,QSAR-TID-10781,QSAR-TID-11,3062,3050
53,9,0.75,QSAR-TID-10781,QSAR-TID-10980,3062,3277
54,7,0.7777777777777778,QSAR-TID-226,QSAR-TID-11,3063,3050
55,7,0.5833333333333334,QSAR-TID-226,QSAR-TID-10980,3063,3277
56,9,1.0,QSAR-TID-11156,QSAR-TID-11,3064,3050
