,0
0,2
1,3
2,12
3,14
4,15
5,16
6,18
7,20
8,22
9,23
10,24
11,25
12,27
13,28
14,29
15,30
16,31
17,35
18,36
19,37
20,38
21,39
22,42
23,44
24,46
25,49
26,50
27,54
28,56
29,57
30,59
31,60
32,171
33,181
34,182
35,183
36,185
37,186
38,188
39,307
40,311
41,313
42,316
43,333
44,334
45,335
46,337
47,375
48,377
49,378
50,381
51,382
52,451
53,454
54,455
55,458
56,460
57,466
58,470
59,473
60,474
61,475
62,488
63,694
64,715
65,717
66,718
67,720
68,723
69,725
70,728
71,735
72,737
73,740
74,742
75,743
76,749
77,750
78,751
79,752
80,757
81,761
82,766
83,770
84,779
85,786
86,792
87,797
88,798
89,799
90,802
91,803
92,805
93,806
94,807
95,810
96,813
97,816
98,818
99,819
100,824
101,825
102,826
103,831
104,833
105,837
106,838
107,839
108,841
109,845
110,847
111,849
112,853
113,855
114,866
115,869
116,870
117,871
118,879
119,884
120,886
121,888
122,896
123,897
124,900
125,903
126,904
127,906
128,907
129,908
130,909
131,910
132,912
133,913
134,915
135,917
136,920
137,926
138,930
139,934
140,936
141,937
142,940
143,943
144,953
145,954
146,957
147,958
148,962
149,966
150,967
151,970
152,971
153,976
154,978
155,979
156,980
157,982
158,983
159,986
160,987
161,989
162,990
163,991
164,993
165,994
166,995
167,1000
168,1002
169,1003
170,1004
171,1008
172,1010
173,1011
174,1016
175,1018
176,1020
177,1021
178,1022
179,1023
180,1024
181,1025
182,1037
183,1048
184,1049
185,1050
186,1056
187,1063
188,1065
189,1067
190,1068
191,1069
192,1071
193,1100
194,1116
195,1167
196,1443
197,1444
198,1447
199,1451
200,1452
201,1453
202,1466
203,1467
204,1472
205,1475
206,1479
207,1480
208,1482
209,1487
210,1489
211,1491
212,1492
213,1493
214,1494
215,1496
216,1497
217,1498
218,1504
219,1506
220,1507
221,1508
222,1510
223,1511
224,1523
225,1524
226,1547
227,1548
228,1549
229,1551
230,1552
231,1553
232,1554
233,1555
234,1557
235,1558
236,1560
237,1566
238,4329
239,4340
240,4538
241,4552
242,6332
243,23380
244,23381
245,40474
246,40475
247,40476
248,40477
249,40478
250,40496
251,40497
252,40498
253,40499
254,40536
255,40589
256,40592
257,40597
258,40646
259,40647
260,40648
261,40649
262,40650
263,40663
264,40664
265,40665
266,40666
267,40670
268,40671
269,40677
270,40678
271,40680
272,40686
273,40687
274,40690
275,40691
276,40693
277,40700
278,40701
279,40702
280,40705
281,40706
282,40707
283,40708
284,40710
285,40711
286,40713
287,40900
288,40945
289,40966
290,40971
291,40975
292,40979
293,40981
294,40982
295,40983
296,40984
297,40994
298,40997
299,40998
300,40999
301,41000
302,41002
303,41003
304,41004
305,41005
306,41006
307,41007
308,41143
309,41146
310,41156
311,41701
312,41705
313,41707
314,41713
315,41716
316,41719
317,41720
318,41721
319,41722
320,41724
321,41725
322,41726
323,41730
324,41731
325,41733
326,41737
327,41740
328,41744
329,41746
330,41750
331,41753
332,41754
333,41756
334,41760
335,41764
336,41765
337,41766
338,41769
339,41783
340,41784
341,41785
342,41788
343,41790
344,41791
345,41797
346,41801
347,41803
348,41811
349,41812
350,41815
351,41818
352,41821
353,41826
354,41829
355,41830
356,41834
357,41839
358,41841
359,41844
360,41846
361,41847
362,41848
363,41849
364,41857
365,41858
366,41863
367,41864
368,41866
369,41867
370,41868
371,41872
372,41874
373,41875
374,41882
375,41894
376,41897
377,41919
378,41945
379,41946
380,41972
381,42123
382,42133
383,42166
384,42178
385,42192
386,42193
387,42530
388,42532
389,42585
390,42638
391,42716
392,42768
393,42804
394,42805
395,43028
396,43029
397,43033
398,43035
399,43097
400,43098
401,43255
402,43595
403,43607
404,43723
405,43891
406,43892
407,43893
408,43894
409,43895
410,43896
411,43897
412,43905
413,43921
414,43922
415,43924
416,43925
417,43941
418,43942
419,43946
420,43947
421,43949
422,43958
423,43970
424,43973
425,43976
426,43980
427,44034
428,44035
429,44037
430,44072
431,44075
432,44078
433,44084
434,44087
435,44091
436,44093
437,44095
438,44096
439,44097
440,44098
441,44115
442,44118
443,44124
444,44127
445,44130
446,44153
447,44155
448,44157
449,44158
450,44160
451,44185
452,44186
453,44227
454,44232
455,44257
456,44258
457,44259
458,44260
459,44261
460,44262
461,44263
462,44264
463,44265
464,44266
465,44268
466,44345
467,44346
468,44347
469,44348
470,44349
471,44350
472,44351
473,44352
474,44353
475,44354
476,44355
477,44356
478,44357
479,44358
480,44359
481,44360
482,44361
483,44362
484,44363
485,44364
486,44365
487,44366
488,44367
489,44368
490,44369
491,44370
492,44371
493,44372
494,44373
495,44374
496,44375
497,44376
498,44377
499,44378
500,44379
