,0,1,2,3,4,5
,,,,,,
0,3,0.09375,liver-disorders,The-Estonia-Disaster-Passenger-List,8,43389
,,,,,,
1,5,0.135135135,liver-disorders,Indian-Liver-Patient-Patient-Records-KFolds-5folds,8,43403
,,,,,,
2,5,0.192307692,liver-disorders,Indian-Liver-Patient-Records,8,43665
,,,,,,
3,5,0.192307692,liver-disorders,Indian-Liver-Patient-Records,8,43675
,,,,,,
4,3,0.088235294,liver-disorders,Heart-Disease-Dataset-(Comprehensive),8,43682
,,,,,,
5,4,1,kin8nm,kin8nm,189,44980
,,,,,,
6,3,0.333333333,cleveland,ozone_level,194,301
,,,,,,
7,5,0.714285714,auto_price,autoPrice,195,207
,,,,,,
8,4,0.4,auto_price,house_prices,195,42165
,,,,,,
9,3,0.176470588,auto_price,Lisbon-House-Prices,195,43660
,,,,,,
10,4,0.181818182,auto_price,AAPL_stock_price_2021_2022,195,43878
,,,,,,
11,4,0.166666667,auto_price,AAPL_stock_price_2021_2022_1,195,43881
,,,,,,
12,4,0.166666667,auto_price,AAPL_stock_price_2021_2022_2,195,43882
,,,,,,
13,5,1,autoMpg,autoMpg,196,42372
,,,,,,
14,5,1,cpu_act,cpu_act,197,573
,,,,,,
15,5,1,cpu_act,cpu_act,197,43981
,,,,,,
16,5,1,cpu_act,cpu_act,197,43982
,,,,,,
17,5,1,cpu_act,cpu_act,197,43990
,,,,,,
18,5,1,cpu_act,cpu_act,197,44007
,,,,,,
19,5,1,cpu_act,cpu_act,197,44132
,,,,,,
20,5,0.5,cpu_act,cpu_activity,197,44978
,,,,,,
21,5,1,cpu_act,cpu_act,197,45029
,,,,,,
22,4,0.181818182,delta_elevators,analcatdata_election2000,198,527
,,,,,,
23,3,0.09375,cholesterol,The-Estonia-Disaster-Passenger-List,204,43389
,,,,,,
24,3,0.3,autoPrice,house_prices,207,42165
,,,,,,
25,3,0.176470588,autoPrice,Lisbon-House-Prices,207,43660
,,,,,,
26,3,0.136363636,autoPrice,AAPL_stock_price_2021_2022,207,43878
,,,,,,
27,3,0.125,autoPrice,AAPL_stock_price_2021_2022_1,207,43881
,,,,,,
28,3,0.125,autoPrice,AAPL_stock_price_2021_2022_2,207,43882
,,,,,,
29,3,0.75,house_8L,houses,218,537
,,,,,,
30,4,0.4,house_8L,house_prices,218,42165
,,,,,,
31,3,0.176470588,house_8L,Lisbon-House-Prices,218,43660
,,,,,,
32,3,0.75,house_8L,houses,218,43988
,,,,,,
33,3,0.1875,stock,stock_fardamento02,223,42545
,,,,,,
34,3,0.136363636,stock,AAPL_stock_price_2021_2022,223,43878
,,,,,,
35,3,0.125,stock,AAPL_stock_price_2021_2022_1,223,43881
,,,,,,
36,3,0.125,stock,AAPL_stock_price_2021_2022_2,223,43882
,,,,,,
37,4,0.210526316,breastTumor,breast-cancer-coimbra,224,42900
,,,,,,
38,7,1,cpu_small,cpu_small,227,562
,,,,,,
39,4,0.2,cpu_small,art_daily_small_noise2,227,43056
,,,,,,
40,5,0.294117647,machine_cpu,synchronous_machine,230,44968
,,,,,,
41,6,1,Ailerons,Ailerons,296,43987
,,,,,,
42,6,1,Ailerons,Ailerons,296,43995
,,,,,,
43,6,1,Ailerons,Ailerons,296,44012
,,,,,,
44,6,1,Ailerons,Ailerons,296,44137
,,,,,,
45,3,0.272727273,libras_move,eye_movements,299,45073
,,,,,,
46,10,0.526315789,analcatdata_birthday,analcatdata_hiroshima,456,494
,,,,,,
47,10,0.555555556,analcatdata_birthday,analcatdata_vineyard,456,500
,,,,,,
48,10,0.588235294,analcatdata_birthday,analcatdata_supreme,456,504
,,,,,,
49,10,0.454545455,analcatdata_birthday,analcatdata_gsssexsurvey,456,506
,,,,,,
50,10,0.714285714,analcatdata_birthday,analcatdata_ncaa,456,521
,,,,,,
51,10,0.454545455,analcatdata_birthday,analcatdata_election2000,456,527
,,,,,,
52,10,0.625,analcatdata_birthday,analcatdata_apnea3,456,555
,,,,,,
53,10,0.625,analcatdata_birthday,analcatdata_apnea2,456,556
,,,,,,
54,10,0.625,analcatdata_birthday,analcatdata_apnea1,456,557
,,,,,,
55,3,0.15,analcatdata_birthday,Code_Smells_Data_Class,456,43079
,,,,,,
56,3,0.272727273,analcatdata_birthday,mytestdataset,456,43127
,,,,,,
57,10,0.588235294,analcatdata_birthday,analcatdata_supreme,456,44040
,,,,,,
58,10,0.588235294,analcatdata_birthday,analcatdata_supreme,456,44055
,,,,,,
59,3,0.130434783,analcatdata_birthday,turing_course_binary_data,456,44270
,,,,,,
60,9,0.529411765,arsenic-male-bladder,arsenic-female-lung,482,513
,,,,,,
61,16,0.8,arsenic-male-bladder,arsenic-female-bladder,482,533
,,,,,,
62,11,0.733333333,arsenic-male-bladder,arsenic-male-lung,482,536
,,,,,,
63,10,0.555555556,analcatdata_hiroshima,analcatdata_vineyard,494,500
,,,,,,
64,10,0.588235294,analcatdata_hiroshima,analcatdata_supreme,494,504
,,,,,,
65,10,0.454545455,analcatdata_hiroshima,analcatdata_gsssexsurvey,494,506
,,,,,,
66,10,0.714285714,analcatdata_hiroshima,analcatdata_ncaa,494,521
,,,,,,
67,10,0.454545455,analcatdata_hiroshima,analcatdata_election2000,494,527
,,,,,,
68,10,0.625,analcatdata_hiroshima,analcatdata_apnea3,494,555
,,,,,,
69,10,0.625,analcatdata_hiroshima,analcatdata_apnea2,494,556
,,,,,,
70,10,0.625,analcatdata_hiroshima,analcatdata_apnea1,494,557
,,,,,,
71,3,0.15,analcatdata_hiroshima,Code_Smells_Data_Class,494,43079
,,,,,,
72,3,0.272727273,analcatdata_hiroshima,mytestdataset,494,43127
,,,,,,
73,3,0.12,analcatdata_hiroshima,Pima-Indians-Diabetes-Dataset,494,43483
,,,,,,
74,3,0.073170732,analcatdata_hiroshima,California-Environmental-Conditions-Dataset,494,43606
,,,,,,
75,10,0.588235294,analcatdata_hiroshima,analcatdata_supreme,494,44040
,,,,,,
76,10,0.588235294,analcatdata_hiroshima,analcatdata_supreme,494,44055
,,,,,,
77,10,0.588235294,analcatdata_vineyard,analcatdata_supreme,500,504
,,,,,,
78,10,0.454545455,analcatdata_vineyard,analcatdata_gsssexsurvey,500,506
,,,,,,
79,10,0.714285714,analcatdata_vineyard,analcatdata_ncaa,500,521
,,,,,,
80,10,0.454545455,analcatdata_vineyard,analcatdata_election2000,500,527
,,,,,,
81,10,0.625,analcatdata_vineyard,analcatdata_apnea3,500,555
,,,,,,
82,10,0.625,analcatdata_vineyard,analcatdata_apnea2,500,556
,,,,,,
83,10,0.625,analcatdata_vineyard,analcatdata_apnea1,500,557
,,,,,,
84,3,0.272727273,analcatdata_vineyard,chscase_vine2,500,689
,,,,,,
85,3,0.15,analcatdata_vineyard,Code_Smells_Data_Class,500,43079
,,,,,,
86,3,0.272727273,analcatdata_vineyard,mytestdataset,500,43127
,,,,,,
87,10,0.588235294,analcatdata_vineyard,analcatdata_supreme,500,44040
,,,,,,
88,10,0.588235294,analcatdata_vineyard,analcatdata_supreme,500,44055
,,,,,,
89,10,0.454545455,analcatdata_supreme,analcatdata_gsssexsurvey,504,506
,,,,,,
90,10,0.714285714,analcatdata_supreme,analcatdata_ncaa,504,521
,,,,,,
91,10,0.454545455,analcatdata_supreme,analcatdata_election2000,504,527
,,,,,,
92,10,0.625,analcatdata_supreme,analcatdata_apnea3,504,555
,,,,,,
93,10,0.625,analcatdata_supreme,analcatdata_apnea2,504,556
,,,,,,
94,10,0.625,analcatdata_supreme,analcatdata_apnea1,504,557
,,,,,,
95,3,0.15,analcatdata_supreme,Code_Smells_Data_Class,504,43079
,,,,,,
96,3,0.272727273,analcatdata_supreme,mytestdataset,504,43127
,,,,,,
97,3,0.088235294,analcatdata_supreme,Heart-Disease-Dataset-(Comprehensive),504,43682
,,,,,,
98,17,1,analcatdata_supreme,analcatdata_supreme,504,44040
,,,,,,
99,17,1,analcatdata_supreme,analcatdata_supreme,504,44055
,,,,,,
100,10,0.714285714,analcatdata_gsssexsurvey,analcatdata_ncaa,506,521
,,,,,,
101,10,0.454545455,analcatdata_gsssexsurvey,analcatdata_election2000,506,527
,,,,,,
102,10,0.625,analcatdata_gsssexsurvey,analcatdata_apnea3,506,555
,,,,,,
103,10,0.625,analcatdata_gsssexsurvey,analcatdata_apnea2,506,556
,,,,,,
104,10,0.625,analcatdata_gsssexsurvey,analcatdata_apnea1,506,557
,,,,,,
105,3,0.15,analcatdata_gsssexsurvey,Code_Smells_Data_Class,506,43079
,,,,,,
106,3,0.272727273,analcatdata_gsssexsurvey,mytestdataset,506,43127
,,,,,,
107,4,0.142857143,analcatdata_gsssexsurvey,Minneapolis-Air-Quality-Survey,506,43747
,,,,,,
