,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
1523,1523,vertebra-column,1,64,active,ARFF,150.0,3.0,60.0,3.0,7.0,310.0,0.0,0.0,6.0,1.0
42585,42585,penguins,1,13013,active,ARFF,152.0,,68.0,3.0,7.0,344.0,10.0,18.0,4.0,3.0
4340,4340,Engine1,1,417,active,ARFF,257.0,3.0,1.0,3.0,6.0,383.0,0.0,0.0,5.0,1.0
40700,40700,cars1,1,869,active,ARFF,245.0,5.0,68.0,3.0,8.0,392.0,0.0,0.0,6.0,2.0
455,455,cars,1,2,active,ARFF,254.0,5.0,73.0,3.0,8.0,406.0,14.0,14.0,6.0,2.0
1100,1100,PopularKids,1,2,active,ARFF,247.0,9.0,90.0,3.0,11.0,478.0,0.0,0.0,6.0,5.0
11,11,balance-scale,1,1,active,ARFF,288.0,3.0,49.0,3.0,5.0,625.0,0.0,0.0,4.0,1.0
1553,1553,autoUniv-au7-700,1,64,active,ARFF,245.0,3.0,214.0,3.0,13.0,700.0,0.0,0.0,8.0,5.0
185,185,baseball,1,1,active,ARFF,1215.0,7.0,57.0,3.0,17.0,1340.0,20.0,20.0,15.0,2.0
44614,44614,cmc_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,629.0,,333.0,3.0,10.0,1473.0,0.0,0.0,2.0,8.0
44772,44772,okcupid-stem_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,1432.0,,192.0,3.0,20.0,2000.0,1910.0,6050.0,2.0,18.0
1548,1548,autoUniv-au4-2500,1,64,active,ARFF,1173.0,6.0,196.0,3.0,101.0,2500.0,0.0,0.0,58.0,43.0
40670,40670,dna,1,869,active,ARFF,1654.0,3.0,765.0,3.0,181.0,3186.0,0.0,0.0,0.0,181.0
46,46,splice,1,1,active,ARFF,1655.0,6.0,767.0,3.0,61.0,3190.0,0.0,0.0,0.0,61.0
60,60,waveform-5000,1,1,active,ARFF,1692.0,3.0,1653.0,3.0,41.0,5000.0,0.0,0.0,40.0,1.0
1044,1044,eye_movements,1,2,active,ARFF,4262.0,3.0,2870.0,3.0,28.0,10936.0,0.0,0.0,24.0,4.0
42734,42734,okcupid-stem,3,11601,active,arff,36350.0,,4882.0,3.0,20.0,50789.0,48622.0,154107.0,2.0,18.0
42345,42345,Traffic_violations,5,1475,active,ARFF,34382.0,,3506.0,3.0,21.0,70340.0,957.0,2288.0,1.0,20.0
4541,4541,Diabetes130US,1,874,active,ARFF,54864.0,790.0,11357.0,3.0,50.0,101766.0,0.0,0.0,13.0,37.0
475,475,analcatdata_germangss,1,2,active,ARFF,100.0,5.0,100.0,4.0,6.0,400.0,0.0,0.0,1.0,5.0
458,458,analcatdata_authorship,1,2,active,ARFF,317.0,4.0,55.0,4.0,71.0,841.0,0.0,0.0,70.0,1.0
44556,44556,vehicle_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,218.0,,199.0,4.0,19.0,846.0,0.0,0.0,18.0,1.0
44622,44622,car_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,1,32840,active,arff,1210.0,,65.0,4.0,7.0,1728.0,0.0,0.0,0.0,7.0
57,57,hypothyroid,1,1,active,ARFF,3481.0,5.0,2.0,4.0,30.0,3772.0,3772.0,6064.0,7.0,23.0
43925,43925,eucalyptus,4,30861,active,ARFF,2211.0,,259.0,4.0,8.0,4331.0,0.0,0.0,5.0,3.0
1497,1497,wall-robot-navigation,1,64,active,ARFF,2205.0,4.0,328.0,4.0,25.0,5456.0,0.0,0.0,24.0,1.0
1565,1565,heart-h,3,64,active,ARFF,188.0,5.0,15.0,5.0,14.0,294.0,0.0,0.0,13.0,1.0
40711,40711,cleveland-nominal,1,869,active,ARFF,164.0,5.0,13.0,5.0,8.0,303.0,0.0,0.0,0.0,8.0
40671,40671,ecoli,3,869,active,ARFF,143.0,5.0,20.0,5.0,8.0,327.0,0.0,0.0,7.0,1.0
40663,40663,calendarDOW,1,869,active,ARFF,96.0,10.0,44.0,5.0,33.0,399.0,0.0,0.0,12.0,21.0
