,attr_conc.nanmean,attr_conc.nansd,attr_ent.nanmean,attr_ent.nansd,class_conc.nanmean,class_conc.nansd,cor.nanmean,cor.nansd,cov.nanmean,cov.nansd,eq_num_attr,freq_class.nanmean,freq_class.nansd,iq_range.nanmean,iq_range.nansd,joint_ent.nanmean,joint_ent.nansd,kurtosis.nanmean,kurtosis.nansd,max.nanmean,max.nansd,mean.nanmean,mean.nansd,median.nanmean,median.nansd,min.nanmean,min.nansd,nr_attr,nr_bin,nr_cat,nr_class,nr_inst,nr_num,nr_outliers,num_to_cat,sd.nanmean,sd.nansd,skewness.nanmean,skewness.nansd,var.nanmean,var.nansd,best_node.mean,best_node.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
1241,0.07673162758894532,0.095814055345076,5.527720383842405,0.8751923041412428,0.000502173618848532,0.0014204498745597801,0.2617316897638148,0.28160577720137536,0.005977912939927857,0.006612376507463788,29.773846251054273,0.5,0.23570226039551584,0.2073292499408126,0.1751495575226425,6.415173852879241,0.8487311615005542,2.0081925992229324,1.7226127102203748,1.0,0.0,0.4709931779498795,0.18912083918507847,0.44518812373280525,0.22899219051050848,0.0,0.0,8.0,0.0,0.0,2.0,488565.0,8.0,7.0,,0.16087176608291512,0.059420851437090354,0.4166780329376899,1.1422122223949498,0.028969208009956324,0.024850586217393476,0.741462736552883,0.0015303193498584446,0.9512285002506236,0.0006708096879776825,0.7443814991749548,0.002057532371467827,0.6645352503606607,1.4926827948559883e-05,0.6645434375191027,7.467907491972216e-06
1242,0.03807639885867269,0.05420321130265257,5.4726941274551795,0.1674298643235929,0.004631273236874066,0.0030956888434442425,0.0759739097469566,0.13295254118718863,0.07597390910371851,0.13295253804869517,6.330657361206237,0.5,0.0,0.5676912335522138,0.40845856584028917,6.31473264842649,0.18313403460061972,34.02157105490363,34.83985337556665,9.99059614047408,6.414408376926451,-0.35170742471813476,0.6069101680218166,-0.4157252407353371,0.4064872509620762,-6.009841033220291,3.601451502688822,100.0,0.0,0.0,2.0,98528.0,100.0,95.0,,1.0000000028555192,3.069598443051296e-08,3.372629415791102,2.1702546473373627,1.0000000057110392,6.139196946971452e-08,0.7930131932505682,0.002352598672994754,0.8473733162919193,0.00095430026045876,0.806816365823237,0.0016347034190451663,0.5798960760532651,0.0012880423641386685,0.5603484333795301,0.006064077945684851
1575,0.012988671891896092,0.020635332762307067,3.3947164157090417,2.7336565732776195,0.00028546098381942444,0.0009050671777063036,0.11125657300024042,0.09148939841067182,0.005600876377286779,0.0045142256947182,45.0385463556371,0.5,0.5712196280947561,0.08718368292532185,0.1334651826351598,3.841048016577599,2.724356505010613,5.242571567135554,2.0258621863990602,1.1186796724796295,0.19639574879502766,0.05180129722615165,0.09606606923887867,-0.0013339092150669205,0.08561438807215853,-0.6376283092593605,0.6638622297921168,22.0,10.0,0.0,2.0,191681.0,22.0,20.0,,0.23725292203403042,0.07335683539471842,1.4389984101365467,1.1527393549477905,0.0614255731628532,0.03572100936584381,0.9030363105175292,2.857484127217332e-05,0.912729549248748,0.0019657192490544657,0.8978714524207012,0.003270664898062953,0.9030363105175292,2.857484127217332e-05,0.9030363105175292,2.857484127217332e-05
4102,0.09216497079796122,0.18563135320090132,0.19524858122832464,0.23949191648971063,0.7331810535135495,0.22626656273253412,0.052748630151932985,0.09486462448054571,0.0021823966224079547,0.008742281589396845,46.42108654508543,0.003690036900369003,0.005416153186030237,0.041748046875,0.19965211923652143,7.722708586971381,0.04146697283589073,78.34733865667516,107.70024800965241,0.8369140625,0.3696245862202813,0.05249451754385964,0.1126456084711998,0.0126953125,0.11201068644687041,0.0009765625,0.03125,1024.0,856.0,0.0,271.0,342.0,1024.0,813.0,,0.14643812632163894,0.12546767251433308,6.7710142053466775,5.870935315424386,0.037170888506242394,0.05580793621030207,,,,,,,,,,
40945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
