,attr_conc.nanmean,attr_conc.nansd,attr_ent.nanmean,attr_ent.nansd,class_conc.nanmean,class_conc.nansd,cor.nanmean,cor.nansd,cov.nanmean,cov.nansd,eq_num_attr,freq_class.nanmean,freq_class.nansd,iq_range.nanmean,iq_range.nansd,joint_ent.nanmean,joint_ent.nansd,kurtosis.nanmean,kurtosis.nansd,max.nanmean,max.nansd,mean.nanmean,mean.nansd,median.nanmean,median.nansd,min.nanmean,min.nansd,nr_attr,nr_bin,nr_cat,nr_class,nr_inst,nr_num,nr_outliers,num_to_cat,sd.nanmean,sd.nansd,skewness.nanmean,skewness.nansd,var.nanmean,var.nansd,best_node.mean,best_node.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
25,0.4168817149610179,0.18657366648297471,0.16250339333696598,0.5542473329204177,0.4064834695696824,0.1956953736301168,0.07755229082710545,0.07082508066097211,0.12492521620661064,0.24343414069548353,138.08654425632318,0.5,0.18446263857040374,4.8,10.183319694480774,1.1059588744959752,0.5229624951038508,85.01344338900198,156.14479383195288,14.4,26.735743864721627,3.3472826086956515,7.191134786113457,2.6,5.813776741499454,0.0,0.0,26,3,0,2,368,26,4,,3.361126004742603,6.663276352825346,6.272737714551344,7.608821974512868,46.81656942305414,104.21074292069653,0.8261261261261261,0.06205762197943973,0.7990990990990992,0.06446322097296693,0.5543543543543544,0.10380143882753567,0.6195195195195196,0.004700443195945472,0.6195195195195196,0.004700443195945472
26,-5.0505963756539104e-08,1.5726261267222307e-08,1.7077222622214983,0.3980760863203709,0.08492948269552134,0.18293742583216335,0.0,0.0,0.0,0.0,10.63031319946153,0.2,0.1713690966977494,1.75,0.3779644730092272,3.2627463536282235,0.5186627510494671,-1.502731086763284,0.216810787241933,2.375,0.9161253813129043,1.1875,0.45806269065645216,1.1875,0.45806269065645216,0.0,0.0,8,1,0,5,12960,8,0,,0.9270692501985203,0.2781520209167158,0.0,0.0,0.927154873061193,0.5463818914743251,0.666358024691358,0.00042262543017371077,0.9012345679012345,0.005643803564169683,0.7455246913580247,0.011410886614690953,0.42114197530864195,0.01481602039847753,0.341358024691358,0.010245216838549181
27,0.5,0.0,0.017647226250561913,0.08277282812280534,0.4773856856405176,0.106070562506355,,,,,11262.565697832113,0.5,0.18446263857040374,0.0,,0.9679005160105896,0.08237708661057803,8.164286396860257,,1.0,,0.07608695652173914,,0.0,,0.0,,22,1,0,2,368,22,1,,0.2654981704673352,,3.18466304393707,,0.07048927852150219,,0.8037537537537538,0.08673624576543901,0.8040540540540541,0.04219593242161082,0.75,0.06722888088558242,0.5978978978978979,0.007386410736485799,0.5978978978978979,0.007386410736485799
28,0.01867112833877573,0.05906470380897365,2.1819868595250167,1.390175512105232,0.11958092201096657,0.09112308094167103,0.12058336628954323,0.1325246417387794,2.2359895100111027,3.5836040966434064,10.60647161861104,0.09999999999999999,0.0012126363167414508,6.0,5.151667937637532,5.190630350090906,1.222647861123,162.9874542218424,478.7393314411742,13.390625,5.016218734946214,4.911243327402135,4.2227784915451965,4.765625,5.070118459215346,0.0,0.0,64,3,0,10,5620,64,29,,3.6862924649286324,2.303884006747176,5.278017490256569,11.161111914945508,18.81369800483901,14.952573922455107,0.20249110320284697,0.005954875633694493,0.9487544483985765,0.007694572352469637,0.7597864768683275,0.03618273915954228,0.18612099644128116,0.00346861008712063,0.10533807829181493,0.0007957537286476156
29,0.2348271546486646,0.24646393977482794,0.903930487779449,1.1185569597098572,0.29449176279245476,0.23564394986564782,0.16468434530069337,0.1484772651608914,223.00664098016213,675.2099219303494,13.14309443157787,0.5,0.07788422517417042,51.27093749679625,139.10282034810376,1.8197430060218662,1.0711250028319945,34.58578719693077,73.96009463861614,12516.0625,35348.8563731331,128.56696920258707,359.1401984324647,1.34375,1.73687681527176,0.0,0.0,15,3,0,2,690,15,5,,653.1676975035103,1841.2808213124345,3.1373460274237237,4.435653572170867,3393153.7211284065,9597263.503164522,0.8869565217391304,0.05265478876691289,0.8898550724637682,0.047628048478710105,0.7942028985507246,0.04021575920438149,0.5478260869565217,0.006481356456521108,0.536231884057971,0.01774992567234186
30,0.08877810838567161,0.09171506810388738,3.991805723674792,0.2582621097543107,0.028046075686615046,0.015634035731032163,0.2899245800908687,0.26863351621489806,342370.5068447628,1276507.4927766393,3.912270348257789,0.2,0.3905663654597584,194.62850000560283,305.1357306386082,4.46484040186716,0.3067577050916115,651.9928961699752,1478.2079361122765,23320.6,45399.41965904165,253.32758631515526,407.8823023805241,78.63769997358322,115.55992317285434,2.512100000027567,3.125169024737416,10,0,0,5,5473,10,10,,840.2336192987079,1551.256243432215,14.70338893346516,19.90134662453856,2871748.87450849,7346136.517014859,0.9331115974325783,0.004805338916174126,0.9426153271327345,0.006428257888891344,0.8424545296841431,0.05881632119428991,0.9119116881730474,0.007516634298271971,0.8991232869400445,0.0007340273054950374
31,0.020705442623538517,0.04242598241926514,1.5720079147491006,0.8457858881487411,0.008703283821730917,0.01344306602621179,0.08025432961400351,0.08756189287951313,140.94147214583003,1547.1395367420303,58.3812298350747,0.5,0.282842712474619,132.6875,582.3471161183129,2.438203364608132,0.8392951970294706,1.6798205034522753,5.399650707330356,931.35,4117.399399915079,167.733,730.5440811490397,119.675,517.8446290813694,13.85,55.74592267365249,20,3,0,2,1000,20,11,,143.10065653976156,630.7298539004029,0.7255048340351669,1.482896788149801,398406.93907327333,1781660.4885508763,0.716,0.005477225575051666,0.7700000000000001,0.04415880433163923,0.748,0.048682645778552344,0.716,0.005477225575051666,0.716,0.005477225575051666
32,0.05003506716525541,0.042390384893817884,3.9133347730224415,0.42575158794558804,0.10799985054151078,0.05937544240581332,0.27119521248701656,0.20431555993895234,240.3058755452804,207.71931419234264,4.579692444105344,0.1,0.004219831181359215,48.5625,19.28719350588191,6.508998487865513,0.544633774483296,-0.5018154618757731,1.1469822233810405,100.0,0.0,50.711045533115,16.762180915296888,49.84375,22.765265025179627,0.0,0.0,16,0,0,10,10992,16,3,,29.774238237334707,6.785664373031173,-0.03918538514845775,0.6761329705788064,929.6726760355245,392.62892713363277,0.19941682521300358,0.006111723293301662,0.8735442137480355,0.009928781687406157,0.8518934568616098,0.011186754406487755,0.19778029613698403,0.0020033160615739996,0.20305749028042022,0.0029661122895124517
34,0.06868096729369891,0.16468816314074974,0.753239846049682,0.37298970606827153,0.07164052996839924,0.17327346449283634,0.10389385830181386,0.050194076609702244,0.04351108733131202,0.036286545391592616,135.51373154463806,0.3333333333333333,0.3492496365667047,0.9642857142857143,0.5850315416812197,1.7263133777276876,0.37199292814524404,0.09454145885541568,3.8487759916672903,1.7142857142857142,0.48795003647426666,1.034920634920635,0.39411455017496116,1.3571428571428572,0.6267831705280087,0.0,0.0,8,2,0,3,90,8,1,,0.6348159472554588,0.22189169601973113,-0.05937554056991231,1.0210522537892706,0.4451935081148565,0.2724072853390375,0.6888888888888889,0.049690399499995354,0.4444444444444445,0.13608276348795437,0.5111111111111112,0.23040490392586355,0.6888888888888889,0.049690399499995354,0.6888888888888889,0.049690399499995354
35,0.08214448402920271,0.15277483802814223,1.101936939883067,0.49170078068003675,0.43134501531203967,0.2689952961308085,0.2358741712685871,0.21013835957945348,0.1863148666090503,0.20429866367154395,5.684304333443989,0.16666666666666666,0.08312479505926303,0.6363636363636364,0.7423855895936853,3.1065843484607036,0.500192364443141,2.515283397195998,5.469832742825553,2.909090909090909,0.3843530573929037,0.743666169895678,0.5793708657808414,0.42424242424242425,0.7917663414126288,0.0,0.0,34,1,0,6,366,34,24,,0.8349705850044518,0.2161170695773765,1.4335997936301665,1.280366561537383,0.7424671144410646,0.3394624818325001,0.49744744744744746,0.01793650229311465,0.9456456456456456,0.032795865776882586,0.901951951951952,0.04901085824986695,0.2896396396396396,0.04151726318776397,0.3282282282282282,0.037531531050974155
