,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
2,,,,,,,,,,,,,,
3,0.4896346003134796,0.12722622572516934,0.5222159090909091,0.0010062855633715772,0.8929486677115988,0.07450464231812848,0.6127380485893417,0.09966528010007855,0.764414184952978,0.07755463663104463,0.504034090909091,0.04149057924494928,0.4671806426332289,0.10515558614241466
4,,,,,,,,,,,,,,
5,,,,,,,,,,,0.5375845410628018,0.012938284788097951,,
6,0.0718,0.0015846485765339596,0.10555,0.01089457051318071,0.7016499999999999,0.013705331484904387,0.6417999999999999,0.010462100914995802,0.9602499999999999,0.00510582456068012,0.042449999999999995,0.0017551511489201012,0.0512,0.002879043050891891
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,0.46880952380952373,0.09904081427581372,,
10,0.6352380952380953,0.05458102171514274,0.43238095238095237,0.0628859962636921,0.870952380952381,0.08735784623066188,0.718095238095238,0.16685250410309224,0.790952380952381,0.10085175178321153,0.5476190476190477,0.024281045302822775,0.5609523809523809,0.04409156966467724
11,0.44631336405529953,0.10905797510939964,0.42585765488991295,0.08809305189700396,0.854531490015361,0.058575718381658655,0.8415770609318995,0.09569404049394797,0.7026881720430107,0.06445277676742173,0.46080389144905276,0.005911767646500074,0.6323860727086534,0.09565009169308529
12,0.192,0.005868938953886341,0.22749999999999998,0.03959868123505574,0.9809999999999999,0.008432740427115686,0.9245000000000001,0.015356865999719246,0.9475,0.01874536979866997,0.172,0.006749485577105523,0.1915,0.012483322207382673
13,,,,,,,,,,,,,,
14,0.191,0.008096638534327412,0.229,0.03935592571505451,0.806,0.023897931105246528,0.766,0.026012817353502252,0.827,0.021239376429431963,0.12250000000000001,0.009789450103725611,0.1255,0.017392527130926087
15,,,,,,,,,,,0.9099378881987578,0.04512887687921075,,
16,0.188,0.0075277265270908165,0.2795,0.02629427483101385,0.951,0.011972189997378636,0.9390000000000001,0.021959558789334102,0.974,0.011972189997378658,0.13799999999999998,0.009189365834726812,0.1375,0.02098279718669029
18,0.198,0.004830458915396484,0.30100000000000005,0.062262883539607024,0.7389999999999999,0.018973665961010293,0.6944999999999999,0.026920665337658745,0.445,0.02943920288775948,0.19850000000000004,0.002415229457698242,0.1975,0.0048591265790377544
20,0.1975,0.0026352313834736517,0.1095,0.007245688373094719,0.9564999999999999,0.0141519531435692,0.9265000000000001,0.018112303982529537,0.977,0.0075277265270908165,0.183,0.011352924243950934,0.16799999999999998,0.012292725943057182
22,0.18550000000000003,0.006851601597031495,0.1835,0.018863545089227877,0.8140000000000001,0.03264284845958689,0.7265,0.018416478128748373,0.8,0.02185812841433998,0.1935,0.004116363011742827,0.158,0.021239376429431987
23,0.4270224305938591,0.00229587120626198,0.4209229637801066,0.012399624758834762,0.5111923147637434,0.0315302156317663,0.4670941349512778,0.03880999130847836,0.45347490347490355,0.04211265346289787,0.4270224305938591,0.00229587120626198,0.4270224305938591,0.00229587120626198
24,,,,,,,,,,,0.6743442459055132,0.13435533185446907,,
