0,AutoCorrelation,Dimensionality,MajorityClassPercentage,MajorityClassSize,MinorityClassPercentage,MinorityClassSize,NumberOfBinaryFeatures,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures,CfsSubsetEval_DecisionStumpAUC,CfsSubsetEval_DecisionStumpErrRate,CfsSubsetEval_DecisionStumpKappa,CfsSubsetEval_NaiveBayesAUC,CfsSubsetEval_NaiveBayesErrRate,CfsSubsetEval_NaiveBayesKappa,CfsSubsetEval_kNN1NAUC,CfsSubsetEval_kNN1NErrRate,CfsSubsetEval_kNN1NKappa,ClassEntropy,DecisionStumpAUC,DecisionStumpErrRate,DecisionStumpKappa,EquivalentNumberOfAtts,J48.00001.AUC,J48.00001.ErrRate,J48.00001.Kappa,J48.0001.AUC,J48.0001.ErrRate,J48.0001.Kappa,J48.001.AUC,J48.001.ErrRate,J48.001.Kappa,MaxAttributeEntropy,MaxKurtosisOfNumericAtts,MaxMeansOfNumericAtts,MaxMutualInformation,MaxNominalAttDistinctValues,MaxSkewnessOfNumericAtts,MaxStdDevOfNumericAtts,MeanAttributeEntropy,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanMutualInformation,MeanNoiseToSignalRatio,MeanNominalAttDistinctValues,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,MinAttributeEntropy,MinKurtosisOfNumericAtts,MinMeansOfNumericAtts,MinMutualInformation,MinNominalAttDistinctValues,MinSkewnessOfNumericAtts,MinStdDevOfNumericAtts,NaiveBayesAUC,NaiveBayesErrRate,NaiveBayesKappa,Quartile1AttributeEntropy,Quartile1KurtosisOfNumericAtts,Quartile1MeansOfNumericAtts,Quartile1MutualInformation,Quartile1SkewnessOfNumericAtts,Quartile1StdDevOfNumericAtts,Quartile2AttributeEntropy,Quartile2KurtosisOfNumericAtts,Quartile2MeansOfNumericAtts,Quartile2MutualInformation,Quartile2SkewnessOfNumericAtts,Quartile2StdDevOfNumericAtts,Quartile3AttributeEntropy,Quartile3KurtosisOfNumericAtts,Quartile3MeansOfNumericAtts,Quartile3MutualInformation,Quartile3SkewnessOfNumericAtts,Quartile3StdDevOfNumericAtts,REPTreeDepth1AUC,REPTreeDepth1ErrRate,REPTreeDepth1Kappa,REPTreeDepth2AUC,REPTreeDepth2ErrRate,REPTreeDepth2Kappa,REPTreeDepth3AUC,REPTreeDepth3ErrRate,REPTreeDepth3Kappa,RandomTreeDepth1AUC,RandomTreeDepth1ErrRate,RandomTreeDepth1Kappa,RandomTreeDepth2AUC,RandomTreeDepth2ErrRate,RandomTreeDepth2Kappa,RandomTreeDepth3AUC,RandomTreeDepth3ErrRate,RandomTreeDepth3Kappa,StdvNominalAttDistinctValues,kNN1NAUC,kNN1NErrRate,kNN1NKappa
44399,0.49224612306153076,0.0055,50.0,1000.0,50.0,1000.0,1.0,2.0,11.0,2000.0,0.0,0.0,10.0,1.0,9.090909090909092,0.0,0.0,90.9090909090909,9.090909090909092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44400,0.512256128064032,0.0055,50.0,1000.0,50.0,1000.0,1.0,2.0,11.0,2000.0,0.0,0.0,10.0,1.0,9.090909090909092,0.0,0.0,90.9090909090909,9.090909090909092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44401,0.49074537268634316,0.0055,50.0,1000.0,50.0,1000.0,1.0,2.0,11.0,2000.0,0.0,0.0,10.0,1.0,9.090909090909092,0.0,0.0,90.9090909090909,9.090909090909092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44402,0.5042521260630315,0.004,50.0,1000.0,50.0,1000.0,1.0,2.0,8.0,2000.0,0.0,0.0,7.0,1.0,12.5,0.0,0.0,87.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44403,0.5092546273136568,0.004,50.0,1000.0,50.0,1000.0,1.0,2.0,8.0,2000.0,0.0,0.0,7.0,1.0,12.5,0.0,0.0,87.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44404,0.47873936968484243,0.004,50.0,1000.0,50.0,1000.0,1.0,2.0,8.0,2000.0,0.0,0.0,7.0,1.0,12.5,0.0,0.0,87.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44405,0.5022511255627814,0.004,50.0,1000.0,50.0,1000.0,1.0,2.0,8.0,2000.0,0.0,0.0,7.0,1.0,12.5,0.0,0.0,87.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44406,0.4837418709354677,0.004,50.0,1000.0,50.0,1000.0,1.0,2.0,8.0,2000.0,0.0,0.0,7.0,1.0,12.5,0.0,0.0,87.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44407,0.4897448724362181,0.003,50.0,1000.0,50.0,1000.0,1.0,2.0,6.0,2000.0,0.0,0.0,5.0,1.0,16.666666666666664,0.0,0.0,83.33333333333334,16.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44408,0.49224612306153076,0.003,50.0,1000.0,50.0,1000.0,1.0,2.0,6.0,2000.0,0.0,0.0,5.0,1.0,16.666666666666664,0.0,0.0,83.33333333333334,16.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44409,0.49724862431215605,0.003,50.0,1000.0,50.0,1000.0,1.0,2.0,6.0,2000.0,0.0,0.0,5.0,1.0,16.666666666666664,0.0,0.0,83.33333333333334,16.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44410,0.48874437218609307,0.003,50.0,1000.0,50.0,1000.0,1.0,2.0,6.0,2000.0,0.0,0.0,5.0,1.0,16.666666666666664,0.0,0.0,83.33333333333334,16.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44411,0.5142571285642822,0.003,50.0,1000.0,50.0,1000.0,1.0,2.0,6.0,2000.0,0.0,0.0,5.0,1.0,16.666666666666664,0.0,0.0,83.33333333333334,16.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44412,0.4827413706853427,0.0255,50.0,1000.0,50.0,1000.0,1.0,2.0,51.0,2000.0,0.0,0.0,50.0,1.0,1.9607843137254901,0.0,0.0,98.0392156862745,1.9607843137254901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44413,0.4897448724362181,0.0255,50.0,1000.0,50.0,1000.0,1.0,2.0,51.0,2000.0,0.0,0.0,50.0,1.0,1.9607843137254901,0.0,0.0,98.0392156862745,1.9607843137254901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44414,0.49824912456228115,0.0255,50.0,1000.0,50.0,1000.0,1.0,2.0,51.0,2000.0,0.0,0.0,50.0,1.0,1.9607843137254901,0.0,0.0,98.0392156862745,1.9607843137254901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44415,0.5052526263131566,0.0255,50.0,1000.0,50.0,1000.0,1.0,2.0,51.0,2000.0,0.0,0.0,50.0,1.0,1.9607843137254901,0.0,0.0,98.0392156862745,1.9607843137254901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44416,0.5017508754377189,0.0255,50.0,1000.0,50.0,1000.0,1.0,2.0,51.0,2000.0,0.0,0.0,50.0,1.0,1.9607843137254901,0.0,0.0,98.0392156862745,1.9607843137254901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44417,0.48574287143571787,0.0125,50.0,1000.0,50.0,1000.0,1.0,2.0,25.0,2000.0,0.0,0.0,24.0,1.0,4.0,0.0,0.0,96.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44418,0.47723861930965483,0.0125,50.0,1000.0,50.0,1000.0,1.0,2.0,25.0,2000.0,0.0,0.0,24.0,1.0,4.0,0.0,0.0,96.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44379,0.5007503751875938,0.0055,50.0,1000.0,50.0,1000.0,1.0,2.0,11.0,2000.0,0.0,0.0,10.0,1.0,9.090909090909092,0.0,0.0,90.9090909090909,9.090909090909092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44380,0.48724362181090547,0.0055,50.0,1000.0,50.0,1000.0,1.0,2.0,11.0,2000.0,0.0,0.0,10.0,1.0,9.090909090909092,0.0,0.0,90.9090909090909,9.090909090909092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44381,0.496248124062031,0.0055,50.0,1000.0,50.0,1000.0,1.0,2.0,11.0,2000.0,0.0,0.0,10.0,1.0,9.090909090909092,0.0,0.0,90.9090909090909,9.090909090909092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44382,0.49724862431215605,0.0135,50.0,1000.0,50.0,1000.0,1.0,2.0,27.0,2000.0,0.0,0.0,26.0,1.0,3.7037037037037033,0.0,0.0,96.29629629629629,3.7037037037037033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44384,0.5162581290645323,0.0135,50.0,1000.0,50.0,1000.0,1.0,2.0,27.0,2000.0,0.0,0.0,26.0,1.0,3.7037037037037033,0.0,0.0,96.29629629629629,3.7037037037037033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44385,0.5007503751875938,0.0135,50.0,1000.0,50.0,1000.0,1.0,2.0,27.0,2000.0,0.0,0.0,26.0,1.0,3.7037037037037033,0.0,0.0,96.29629629629629,3.7037037037037033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44386,0.4867433716858429,0.0135,50.0,1000.0,50.0,1000.0,1.0,2.0,27.0,2000.0,0.0,0.0,26.0,1.0,3.7037037037037033,0.0,0.0,96.29629629629629,3.7037037037037033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44387,0.5077538769384692,0.0085,50.0,1000.0,50.0,1000.0,1.0,2.0,17.0,2000.0,0.0,0.0,16.0,1.0,5.88235294117647,0.0,0.0,94.11764705882352,5.88235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44388,0.5127563781890946,0.0085,50.0,1000.0,50.0,1000.0,1.0,2.0,17.0,2000.0,0.0,0.0,16.0,1.0,5.88235294117647,0.0,0.0,94.11764705882352,5.88235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44389,0.5007503751875938,0.0085,50.0,1000.0,50.0,1000.0,1.0,2.0,17.0,2000.0,0.0,0.0,16.0,1.0,5.88235294117647,0.0,0.0,94.11764705882352,5.88235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44390,0.49724862431215605,0.0085,50.0,1000.0,50.0,1000.0,1.0,2.0,17.0,2000.0,0.0,0.0,16.0,1.0,5.88235294117647,0.0,0.0,94.11764705882352,5.88235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44391,0.4912456228114057,0.0085,50.0,1000.0,50.0,1000.0,1.0,2.0,17.0,2000.0,0.0,0.0,16.0,1.0,5.88235294117647,0.0,0.0,94.11764705882352,5.88235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44392,0.49974987493746875,0.0105,50.0,1000.0,50.0,1000.0,1.0,2.0,21.0,2000.0,0.0,0.0,20.0,1.0,4.761904761904762,0.0,0.0,95.23809523809523,4.761904761904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44393,0.5072536268134067,0.0105,50.0,1000.0,50.0,1000.0,1.0,2.0,21.0,2000.0,0.0,0.0,20.0,1.0,4.761904761904762,0.0,0.0,95.23809523809523,4.761904761904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
