did,AutoCorrelation,CfsSubsetEval_DecisionStumpAUC,CfsSubsetEval_DecisionStumpErrRate,CfsSubsetEval_DecisionStumpKappa,CfsSubsetEval_NaiveBayesAUC,CfsSubsetEval_NaiveBayesErrRate,CfsSubsetEval_NaiveBayesKappa,CfsSubsetEval_kNN1NAUC,CfsSubsetEval_kNN1NErrRate,CfsSubsetEval_kNN1NKappa,ClassEntropy,DecisionStumpAUC,DecisionStumpErrRate,DecisionStumpKappa,Dimensionality,EquivalentNumberOfAtts,J48.00001.AUC,J48.00001.ErrRate,J48.00001.Kappa,J48.0001.AUC,J48.0001.ErrRate,J48.0001.Kappa,J48.001.AUC,J48.001.ErrRate,J48.001.Kappa,MajorityClassPercentage,MajorityClassSize,MaxAttributeEntropy,MaxKurtosisOfNumericAtts,MaxMeansOfNumericAtts,MaxMutualInformation,MaxNominalAttDistinctValues,MaxSkewnessOfNumericAtts,MaxStdDevOfNumericAtts,MeanAttributeEntropy,MeanKurtosisOfNumericAtts,MeanMeansOfNumericAtts,MeanMutualInformation,MeanNoiseToSignalRatio,MeanNominalAttDistinctValues,MeanSkewnessOfNumericAtts,MeanStdDevOfNumericAtts,MinAttributeEntropy,MinKurtosisOfNumericAtts,MinMeansOfNumericAtts,MinMutualInformation,MinNominalAttDistinctValues,MinSkewnessOfNumericAtts,MinStdDevOfNumericAtts,MinorityClassPercentage,MinorityClassSize,NaiveBayesAUC,NaiveBayesErrRate,NaiveBayesKappa,NumberOfBinaryFeatures,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,PercentageOfBinaryFeatures,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,PercentageOfNumericFeatures,PercentageOfSymbolicFeatures,Quartile1AttributeEntropy,Quartile1KurtosisOfNumericAtts,Quartile1MeansOfNumericAtts,Quartile1MutualInformation,Quartile1SkewnessOfNumericAtts,Quartile1StdDevOfNumericAtts,Quartile2AttributeEntropy,Quartile2KurtosisOfNumericAtts,Quartile2MeansOfNumericAtts,Quartile2MutualInformation,Quartile2SkewnessOfNumericAtts,Quartile2StdDevOfNumericAtts,Quartile3AttributeEntropy,Quartile3KurtosisOfNumericAtts,Quartile3MeansOfNumericAtts,Quartile3MutualInformation,Quartile3SkewnessOfNumericAtts,Quartile3StdDevOfNumericAtts,REPTreeDepth1AUC,REPTreeDepth1ErrRate,REPTreeDepth1Kappa,REPTreeDepth2AUC,REPTreeDepth2ErrRate,REPTreeDepth2Kappa,REPTreeDepth3AUC,REPTreeDepth3ErrRate,REPTreeDepth3Kappa,RandomTreeDepth1AUC,RandomTreeDepth1ErrRate,RandomTreeDepth1Kappa,RandomTreeDepth2AUC,RandomTreeDepth2ErrRate,RandomTreeDepth2Kappa,RandomTreeDepth3AUC,RandomTreeDepth3ErrRate,RandomTreeDepth3Kappa,StdvNominalAttDistinctValues,kNN1NAUC,kNN1NErrRate,kNN1NKappa
8,0.8255813953488372,,,,,,,,,,,,,,0.017391304347826087,,,,,,,,,,,,,,13.813911752411268,90.15942028985508,,,3.063498642355853,39.25461616755085,,6.57117573055445,42.802898550724635,,,,1.6886196204361754,15.827503400802176,,0.7478828309967818,3.4550724637681136,,,-0.38843312376254074,3.337835264577127,,,,,,0.0,0.0,6.0,345.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,100.0,0.0,,2.1256888395117097,19.346376811594208,,0.4681417978731725,4.170530797367548,,5.901776568203553,34.344927536231886,,1.918445936350417,14.206082045720775,,11.31103980397396,74.94202898550725,,2.9154448302673353,24.44788572159709,,,,,,,,,,,,,,,,,,,,,,
31,0.5695695695695696,0.7208285714285714,0.273,0.3056968463886062,0.7208285714285714,0.273,0.3056968463886062,0.7208285714285714,0.273,0.3056968463886062,0.8812908992306927,0.6647619047619048,0.3,0.0,0.021,43.593036016305035,0.6617476190476189,0.279,0.24431202600216673,0.6617476190476189,0.279,0.24431202600216673,0.6617476190476189,0.279,0.24431202600216673,70.0,700.0,2.6666777598518516,4.292590308048501,3271.257999999999,0.09473884155264,10.0,1.9496276798326246,2822.7368759604396,1.433893225502841,0.9242775257981102,476.58385714285697,0.02021632305905615,69.92749860170595,4.0,0.9203791257169068,407.04761882821174,0.2283640258405646,-1.3814485027493755,1.1549999999999998,0.00096366001491,2.0,-0.5313481143125632,0.3620857717531919,30.0,300.0,0.786047619047619,0.248,0.3724696356275304,3.0,2.0,21.0,1000.0,0.0,0.0,7.0,14.0,14.285714285714285,0.0,0.0,33.33333333333333,66.66666666666666,0.9089779148834296,-1.2104731179379757,1.407,0.005310005973835,-0.2725698140337198,0.5776544682460991,1.5321036281187235,0.9197813600546327,2.9730000000000003,0.01275318647802,1.09418417155554,1.1187146743126737,1.8749120301493503,1.6492736936699308,35.54600000000001,0.02650410754481,1.909444721297511,12.058814452756392,0.7002928571428572,0.269,0.22254335260115596,0.7002928571428572,0.269,0.22254335260115596,0.7002928571428572,0.269,0.22254335260115596,0.6580238095238096,0.298,0.2781007751937982,0.6580238095238096,0.298,0.2781007751937982,0.6580238095238096,0.298,0.2781007751937982,2.0380986614602725,0.649047619047619,0.286,0.30447470817120614
37,0.5501955671447197,0.7186641791044776,0.26953125,0.38164732240097077,0.7186641791044776,0.26953125,0.38164732240097077,0.7186641791044776,0.26953125,0.38164732240097077,0.9331343166407831,0.7111194029850746,0.2721354166666667,0.39105890922334524,0.01171875,,0.7074365671641791,0.2760416666666667,0.38177399756986635,0.7074365671641791,0.2760416666666667,0.38177399756986635,0.7074365671641791,0.2760416666666667,0.38177399756986635,65.10416666666666,500.0,,7.214259554348853,120.89453125,,2.0,2.272250858431569,115.24400235133837,,2.775362395442404,44.98579117838542,,,2.0,0.5292461289375233,25.7337429754516,,-0.5200718661530077,0.4718763020833333,,2.0,-1.8436079833551307,0.3313285950127748,34.89583333333333,268.0,0.8082686567164178,0.24088541666666666,0.45812356979405044,1.0,2.0,9.0,768.0,0.0,0.0,8.0,1.0,11.11111111111111,0.0,0.0,88.88888888888889,11.11111111111111,,0.2796097882539714,8.017903645833334,,-0.29439306721970576,4.4982236271180085,,1.9668008946784574,32.61673177083334,,0.5377137404718786,13.856224554203179,,5.491254286007905,77.1259765625,,1.722332475016523,28.81841543901336,0.7629141791044775,0.2825520833333333,0.3517752123720321,0.7629141791044775,0.2825520833333333,0.3517752123720321,0.7629141791044775,0.2825520833333333,0.3517752123720321,0.6644477611940298,0.3072916666666667,0.32719605630456744,0.6644477611940298,0.3072916666666667,0.32719605630456744,0.6644477611940298,0.3072916666666667,0.32719605630456744,0.0,0.6434029850746269,0.3098958333333333,0.2960315504067045
61,0.9865771812080537,0.9565333333333332,0.06666666666666667,0.9,0.9565333333333332,0.06666666666666667,0.9,0.9565333333333332,0.06666666666666667,0.9,1.584962500721156,0.8333333333333334,0.3333333333333333,0.49999999999999994,0.03333333333333333,,0.9565333333333332,0.06666666666666667,0.9,0.9565333333333332,0.06666666666666667,0.9,0.9565333333333332,0.06666666666666667,0.9,33.33333333333333,50.0,,0.2907810623654319,5.843333333333334,,3.0,0.33405266217208907,1.7644204199522626,,-0.7507394876837399,3.4636666666666667,,,3.0,0.067375701047788,0.9473104002482851,,-1.401920800645399,1.1986666666666665,,3.0,-0.2744642524737837,0.43359431136217386,33.33333333333333,50.0,0.9932000000000001,0.03333333333333333,0.9499999999999998,0.0,3.0,5.0,150.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,80.0,20.0,,-1.3863791432688857,1.6624999999999999,,-0.2320973298913695,0.5159859189468406,,-0.9459091062274964,3.406333333333333,,0.10495719724642329,0.795613434839352,,0.08006978644516216,5.322166666666667,,0.32926723578831013,1.5303318469586626,0.955,0.07333333333333333,0.8899999999999998,0.955,0.07333333333333333,0.8899999999999998,0.955,0.07333333333333333,0.8899999999999998,0.95,0.06666666666666667,0.9,0.95,0.06666666666666667,0.9,0.95,0.06666666666666667,0.9,0.0,0.9558,0.06,0.9099999999999999
189,0.7021717776918557,,,,,,,,,,,,,,0.0010986328125,,,,,,,,,,,,,,-0.5337946519547194,0.7142834923574218,,,0.09030755456144988,0.9132427204260479,,-1.1178374121086188,0.08156286171485248,,,,0.007879774624360248,0.8339842123716272,,-1.2000097012959414,-0.012944916074116693,,,-0.03599926583182361,0.2636067956976758,,,,,,0.0,0.0,9.0,8192.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,100.0,0.0,,-1.197791336099338,-0.008465175437973232,,-0.005571095999801755,0.8999751478811575,,-1.1897586054940779,0.007885604346140194,,0.004201033670522116,0.9048669059015286,,-1.1813087663801025,0.016071490327638556,,0.008299293273511515,0.9082989557080158,,,,,,,,,,,,,,,,,,,,,,
190,0.6620500000000001,,,,,,,,,,,,,,0.04918032786885246,,,,,,,,,,,,,,0.12593009672830213,574.7540983606557,,2.0,0.05301136689548292,65.41168492395043,,-0.08586754481595982,289.0222459016393,,,2.0,-0.05759001689357899,32.87023681200709,,-0.29766518636022177,3.2903934426229506,,2.0,-0.1681914006826409,0.3287887000637605,,,,,,1.0,0.0,3.0,61.0,0.0,0.0,2.0,1.0,33.33333333333333,0.0,0.0,66.66666666666666,33.33333333333333,,-0.29766518636022177,3.2903934426229506,,-0.1681914006826409,0.3287887000637605,,-0.08586754481595982,289.0222459016393,,-0.057590016893578996,32.8702368120071,,0.12593009672830213,574.7540983606557,,0.05301136689548292,65.41168492395043,,,,,,,,,,,,,,,,,,,0.0,,,
191,-29.740932642487046,,,,,,,,,,,,,,0.17010309278350516,,,,,,,,,,,,,,26.29891514354817,1401.7567010309276,,,3.90157458661366,587.0407054245301,,2.7229921781329183,86.31782083989377,,,,1.1205560281472122,33.395154998878674,,-0.811771517473983,0.004004438144329897,,,-0.13010833647927655,0.0019500611705002776,,,,,,0.0,0.0,33.0,194.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,100.0,0.0,,0.44111439532738794,0.08879229381443299,,0.581561988484055,0.021173959166109195,,1.705189727635672,0.3645673195876289,,0.9892376375507836,0.16552842206374366,,3.584733169172078,21.645979381443297,,1.5884070037569002,4.907284012947663,,,,,,,,,,,,,,,,,,,,,,
192,-1.1764705882352942,,,,,,,,,,,,,,0.057692307692307696,,,,,,,,,,,,,,2.1043715927653577,18.086538461538463,,,0.2696733472126546,4.394427346580445,,0.6456867834933067,10.339743589743591,,,,-0.5157806329966461,2.890397102741041,,-0.7459003551980539,3.278846153846154,,,-1.156232682172049,1.9388025957479615,,,,,,0.0,0.0,3.0,52.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,,-0.7459003551980539,3.278846153846154,,-1.156232682172049,1.9388025957479615,,0.5785891129126162,9.653846153846153,,-0.6607825640305439,2.3379613658947167,,2.1043715927653577,18.086538461538463,,0.2696733472126546,4.394427346580445,,,,,,,,,,,,,,,,,,,,,,
193,-13.571282051282054,,,,,,,,,,,,,,0.175,,,,,,,,,,,,,,1.23672067446137,36.287,,,1.4624553897797739,40.290551682395645,,-0.9378997566620313,14.888714285714284,,,,0.16004948978177574,11.832897626532338,,-1.8237908961593183,1.0,,,-1.1685891531100079,0.4529108136578383,,,,,,0.0,0.0,7.0,40.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,100.0,0.0,,-1.8237908961593177,2.0,,0.0,0.9058216273156766,,-1.8237908961593168,7.0,,0.0,2.900044208327937,,0.5196210156271048,33.934,,0.8264801918026641,27.411095526241155,,,,,,,,,,,,,,,,,,,,,,
194,-0.2251655629139073,,,,,,,,,,,,,,0.0462046204620462,,,,,,,,,,,,,,4.49172428653883,246.69306930693068,,4.0,1.269719930602004,51.776917542637015,,0.9273127762157815,83.58259734239071,,,2.7142857142857144,0.6589423296026808,14.94534000277354,,-0.5233827452226585,0.6722408026755854,,2.0,-0.5374486699106468,0.9374383177242156,,,,,,3.0,0.0,14.0,303.0,6.0,6.0,7.0,7.0,21.428571428571427,1.9801980198019802,0.14144271570014144,50.0,50.0,,-0.13875398792997595,0.9372937293729372,,-0.2090604688201289,1.161075022068634,,0.25925589718151354,54.43894389438944,,1.0584956067826028,9.038662442446743,,1.575813073338233,149.6072607260726,,1.1893521054154095,22.875003276980376,,,,,,,,,,,,,,,,,,,0.7559289460184545,,,
