,0
1241,14.228277683258057
1242,61.42676901817322
1575,15.508774280548096
4102,68.26268458366394
40945,
41496,
41701,
41703,
41705,
42252,
42813,
43051,
43160,
43890,
43891,
43892,
43896,
350,8.970810413360596
351,14.092882871627808
357,62.13765859603882
373,
374,
376,
379,
380,
43897,
43903,
43904,
43905,
44073,
44074,
44075,
44076,
44078,
44079,
44080,
44082,
44083,
44084,
44085,
44086,
44087,
44088,
44089,
44090,
44091,
44093,
44094,
44095,
44096,
44120,
44122,
44123,
44124,
44125,
44126,
44127,
44128,
44130,
44131,
44154,
44155,
44156,
44157,
44158,
44160,
44161,
44162,
44185,
44186,
44237,
44238,
44239,
44240,
44241,
44242,
44243,
44244,
44245,
44246,
44247,
44248,
44249,
44250,
44251,
44252,
44271,
44272,
44273,
44274,
44275,
44276,
44277,
44278,
44279,
44280,
44281,
44282,
44283,
44284,
44285,
44286,
44287,
44288,
44289,
44290,
44291,
44292,
44293,
44294,
44295,
44296,
44297,
44298,
44299,
44300,
44301,
44302,
44303,
44304,
44305,
44306,
44307,
44308,
44309,
44310,
44312,
44313,
44314,
44315,
44316,
44317,
44318,
44319,
44320,
44321,
44322,
44323,
44324,
44325,
44326,
44327,
44328,
44329,
44330,
44331,
44332,
44333,
44334,
44335,
44336,
44337,
44338,
44340,
44341,
44342,
44343,
44344,
45019,
45020,
45021,
45022,
45026,
45028,
45035,
45036,
45037,
45038,
45039,
45049,
45058,1.4740562438964844
45059,1.7963485717773438
45060,
45061,
45062,
45063,1.352376937866211
45064,
45065,
45066,
45067,20.74909257888794
45068,
45069,
45070,
45073,
45074,
45075,
45076,
45077,2.4788947105407715
45078,
45079,
389,131.37589764595032
