,0
0,45056
1,45057
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,40971
18,18
19,40975
20,20
21,40978
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,40984
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,41002
46,46
47,40999
48,48
49,49
50,50
51,51
52,53
53,54
54,55
55,56
56,57
57,4153
58,59
59,60
60,61
61,62
62,41022
63,4154
64,41027
65,830
66,119
67,838
68,41082
69,125
70,133
71,137
72,143
73,151
74,820
75,844
76,845
77,4102
78,163
79,164
80,171
81,179
82,180
83,181
84,182
85,183
86,184
87,185
88,186
89,187
90,188
91,41142
92,41143
93,41144
94,41145
95,41146
96,41150
97,41156
98,853
99,41158
100,41160
101,41162
102,41164
103,41168
104,41169
105,210
106,823
107,232
108,4329
109,4340
110,251
111,255
112,259
113,265
114,275
115,276
116,277
117,278
118,279
119,285
120,300
121,307
122,310
123,311
124,312
125,313
126,4133
127,316
128,4134
129,4135
130,327
131,328
132,329
133,333
134,334
135,335
136,336
137,337
138,338
139,339
140,340
141,342
142,343
143,346
144,350
145,351
146,357
147,372
148,373
149,374
150,375
151,376
152,377
153,378
154,379
155,380
156,381
157,382
158,389
159,4534
160,4537
161,4538
162,443
163,444
164,4541
165,446
166,448
167,450
168,451
169,452
170,453
171,454
172,455
173,4552
174,457
175,458
176,459
177,460
178,461
179,462
180,463
181,464
182,465
183,466
184,467
185,468
186,469
187,470
188,472
189,474
190,475
191,476
192,477
193,41434
194,479
195,480
196,481
197,41440
198,488
199,530
200,41496
201,41526
202,679
203,682
204,683
205,685
206,694
207,41671
208,713
209,714
210,715
211,716
212,717
213,718
214,719
215,720
216,721
217,722
218,723
219,724
220,725
221,726
222,727
223,728
224,729
225,730
226,731
227,732
228,733
229,734
230,735
231,736
232,737
233,738
234,739
235,740
236,41701
237,741
238,41703
239,742
240,41705
241,743
242,41707
243,744
244,41708
245,41709
246,745
247,746
248,747
249,748
250,41714
251,41715
252,41716
253,41717
254,41718
255,41719
256,41720
257,41721
258,754
259,755
260,756
261,757
262,758
263,759
264,760
265,761
266,762
267,763
268,764
269,765
270,766
271,767
272,768
273,769
274,770
275,41740
276,772
277,773
278,774
279,775
280,776
281,777
282,778
283,779
284,780
285,782
286,783
287,784
288,785
289,786
290,787
291,788
292,789
293,790
294,791
295,792
296,793
297,794
298,795
299,796
300,797
301,798
302,799
303,800
304,801
305,802
306,803
307,804
308,805
309,806
310,807
311,808
312,810
313,811
314,812
315,813
316,814
317,815
318,816
319,817
320,818
321,819
322,827
323,828
324,829
325,821
326,41789
327,41790
328,824
329,825
330,826
331,41795
332,41796
333,41797
334,41798
335,831
336,832
337,833
338,834
339,835
340,836
341,837
342,847
343,839
344,840
345,841
346,842
347,843
348,41813
349,41814
350,846
351,41816
352,848
353,849
354,850
355,851
356,852
357,41822
358,854
359,855
360,857
361,858
362,859
363,860
364,861
365,862
366,863
367,864
368,865
369,866
370,867
371,868
372,869
373,870
374,871
375,873
376,874
377,875
378,876
379,877
380,878
381,879
382,880
383,881
384,882
385,884
386,885
387,886
388,887
389,888
390,889
391,890
392,891
393,892
394,893
395,894
396,895
397,896
398,897
399,898
400,899
401,900
402,901
403,902
404,903
405,904
406,905
407,906
408,907
409,908
410,909
411,910
412,911
413,912
414,913
415,914
416,915
417,916
418,917
419,918
420,919
421,920
422,921
423,922
424,923
425,924
426,925
427,926
428,927
429,928
430,929
431,930
432,931
433,932
434,933
435,934
436,935
437,936
438,937
439,938
440,939
441,940
442,941
443,942
444,943
445,944
446,945
447,946
448,947
449,949
450,950
451,951
452,952
453,953
454,954
455,955
456,956
457,957
458,958
459,959
460,960
461,961
462,962
463,963
464,964
465,965
466,966
467,967
468,968
469,969
470,970
471,971
472,972
473,973
474,974
475,975
476,976
477,977
478,978
479,979
480,980
481,981
482,982
483,983
484,984
485,985
486,986
487,987
488,988
489,989
490,990
491,991
492,992
493,993
494,994
495,995
496,996
497,997
498,998
499,999
500,1000
501,1001
502,1002
503,1003
504,1004
505,1005
506,1006
507,1007
508,1008
509,1009
510,1010
511,1011
512,1012
513,1013
514,1014
515,1015
516,1016
517,1017
518,1018
519,1019
520,1020
521,1021
522,1022
523,1023
524,1025
525,1026
526,41724
527,41723
528,41725
529,41722
530,1037
531,1038
532,1039
533,1040
534,1041
535,1042
536,41727
537,1044
538,1045
539,1046
540,1047
541,1048
542,1049
543,1050
544,41728
545,1053
546,1054
547,1055
548,1056
549,1057
550,41729
551,1059
552,1060
553,1061
554,1062
555,1063
556,1064
557,1065
558,1066
559,1067
560,1068
561,1069
562,41731
563,1071
564,41732
565,1073
566,41733
567,1075
568,41734
569,41735
570,41736
571,1092
572,41737
573,41738
574,1100
575,41739
576,41741
577,1115
578,1116
579,1117
580,1119
581,1120
582,1121
583,41742
584,41743
585,41744
586,41745
587,41726
588,41746
589,41747
590,41748
591,41749
592,41750
593,41751
594,1167
595,41752
596,41753
597,41754
598,41755
599,41756
600,41757
601,41758
602,41759
603,42167
604,42169
605,41760
606,42172
607,41761
608,1217
609,1219
610,1220
611,41762
612,1222
613,41763
614,42186
615,41764
616,42192
617,42193
618,41765
619,41730
620,1241
621,1242
622,41766
623,41767
624,41768
625,41769
626,41770
627,41771
628,41772
629,41773
630,41774
631,41775
632,41776
633,42252
634,41777
635,41778
636,41779
637,41780
638,40966
639,41781
640,41782
641,41783
642,41784
643,41785
644,41786
645,41787
646,41788
647,41791
648,41792
649,42334
650,40979
651,41793
652,41794
653,42345
654,40981
655,42347
656,40982
657,40983
658,40985
659,41799
660,41800
661,1412
662,1413
663,41801
664,45058
665,41802
666,45059
667,41803
668,45060
669,41804
670,45061
671,41805
672,42397
673,42399
674,45062
675,1441
676,1442
677,1443
