,0
0,4096
1,4097
2,4098
3,4100
4,4101
5,4102
6,4103
7,8
8,4104
9,4105
10,4107
11,4108
12,4109
13,4110
14,4111
15,4112
16,4113
17,4114
18,4115
19,4116
20,4117
21,4118
22,4119
23,4120
24,4121
25,4122
26,4123
27,4124
28,4125
29,31
30,4126
31,4127
32,4128
33,4129
34,37
35,4131
36,4077
37,4078
38,4079
39,4072
40,3266
41,4081
42,4082
43,61
44,41021
45,4083
46,4084
47,3271
48,4086
49,4071
50,3276
51,3261
52,4075
53,41523
54,4076
55,3286
56,3291
57,189
58,190
59,191
60,192
61,193
62,194
63,195
64,196
65,197
66,198
67,199
68,200
69,201
70,202
71,203
72,204
73,205
74,206
75,207
76,209
77,210
78,212
79,213
80,214
81,215
82,216
83,217
84,218
85,222
86,223
87,224
88,225
89,226
90,227
91,228
92,229
93,230
94,231
95,232
96,41187
97,41199
98,4069
99,4353
100,287
101,294
102,296
103,4043
104,298
105,299
106,300
107,301
108,41265
109,308
110,315
111,344
112,405
113,406
114,407
115,408
116,409
117,410
118,412
119,416
120,418
121,419
122,420
123,421
124,422
125,424
126,426
127,428
128,430
129,434
130,439
131,4532
132,4544
133,4545
134,456
135,4553
136,482
137,483
138,485
139,486
140,487
141,491
142,492
143,494
144,495
145,497
146,498
147,500
148,503
149,504
150,505
151,506
152,507
153,508
154,509
155,510
156,511
157,512
158,513
159,41472
160,515
161,516
162,518
163,519
164,520
165,521
166,522
167,523
168,524
169,525
170,526
171,527
172,528
173,529
174,530
175,531
176,41490
177,533
178,534
179,535
180,536
181,537
182,538
183,539
184,540
185,541
186,542
187,543
188,544
189,546
190,547
191,41506
192,549
193,550
194,551
195,553
196,41514
197,555
198,556
199,557
200,41518
201,41519
202,558
203,559
204,560
205,561
206,41524
207,41525
208,562
209,563
210,564
211,565
212,566
213,567
214,568
215,569
216,570
217,572
218,573
219,574
220,575
221,41539
222,41540
223,576
224,41542
225,577
226,578
227,579
228,580
229,581
230,582
231,583
232,584
233,585
234,586
235,587
236,588
237,589
238,590
239,591
240,592
241,593
242,594
243,595
244,596
245,597
246,598
247,599
248,600
249,601
250,602
251,603
252,604
253,605
254,606
255,607
256,608
257,609
258,610
259,611
260,612
261,613
262,614
263,615
264,616
265,617
266,618
267,619
268,620
269,621
270,622
271,623
272,624
273,625
274,626
275,627
276,628
277,629
278,630
279,631
280,632
281,633
282,634
283,635
284,636
285,637
286,638
287,639
288,640
289,641
290,642
291,643
292,644
293,645
294,646
295,647
296,648
297,649
298,650
299,651
300,652
301,653
302,654
303,655
304,656
305,657
306,658
307,659
308,660
309,661
310,663
311,664
312,665
313,666
314,668
315,669
316,670
317,671
318,672
319,673
320,674
321,675
322,676
323,678
324,681
325,684
326,686
327,687
328,688
329,689
330,690
331,691
332,692
333,693
334,695
335,696
336,697
337,698
338,699
339,700
340,702
341,703
342,704
343,706
344,707
345,708
346,709
347,710
348,711
349,712
350,41700
351,41702
352,41704
353,4044
354,41968
355,41969
356,41980
357,1027
358,1028
359,1029
360,1030
361,1035
362,4046
363,1051
364,1058
365,1070
366,1072
367,1076
368,1089
369,1090
370,1091
371,1092
372,1093
373,1094
374,1096
375,1097
376,1098
377,1099
378,42092
379,41517
380,1168
381,1193
382,1199
383,42159
384,1201
385,1203
386,42176
387,42183
388,42184
389,42207
390,42223
391,42224
392,42225
393,42236
394,42256
395,4063
396,45048
397,42351
398,42352
399,42360
400,42361
401,42362
402,42363
403,42364
404,42365
405,42366
406,42367
407,42368
408,42369
409,42370
410,42371
411,42372
412,1414
413,1420
414,1424
415,1425
416,1426
417,1427
418,1428
419,1429
420,1430
421,1432
422,1433
423,1435
424,1436
425,1464
426,42443
427,1488
428,42464
429,42495
430,42496
431,1571
432,1572
433,1574
434,1575
435,1579
436,42545
437,1589
438,1591
439,1593
440,42559
441,42563
442,42570
443,42623
444,4051
445,42635
446,42688
447,42712
448,42713
449,42720
450,42724
451,42726
452,42727
453,42730
454,42731
455,42821
456,42822
457,42903
458,3649
459,3987
460,3654
461,3988
462,3659
463,3989
464,3664
465,3240
466,3669
467,3991
468,3674
469,43071
470,3992
471,3679
472,43093
473,3993
474,3684
475,43123
476,3994
477,3689
478,43144
479,3995
480,43174
481,3996
482,3997
483,43250
484,4056
485,43257
486,3999
487,4000
488,4002
489,4003
490,4004
491,4005
492,4006
493,43466
494,4008
495,4058
496,4009
497,4010
498,4011
499,4012
500,43611
501,4013
502,4014
503,4015
504,4016
505,4019
506,4021
507,4022
508,4023
509,43871
510,43873
511,43878
512,43881
513,43882
514,4024
515,4025
516,43918
517,43919
518,4026
519,43962
520,43963
521,23515
522,23516
523,3040
524,3042
525,3043
526,3044
527,3045
528,3046
529,44007
530,44008
531,44009
532,3047
533,3048
534,3049
535,3050
536,3051
537,3052
538,3053
539,3054
540,3056
541,3058
542,3059
543,3060
544,3061
545,44025
546,44026
547,3062
548,44028
549,44029
550,3063
551,3064
552,3065
553,3066
554,3067
555,3068
556,3069
557,3070
558,3071
559,3072
560,3073
561,3074
562,3075
563,3076
564,3077
565,3078
566,3079
567,3080
568,3081
569,3082
570,3084
571,3085
572,3089
573,44054
574,44055
575,44056
576,44057
577,3091
578,44059
579,3098
580,44061
581,44062
582,44063
583,44064
584,3101
585,44066
586,44068
587,44069
588,3103
589,3104
590,3105
591,3106
592,3107
593,3110
594,3111
595,3112
596,3113
597,3114
598,3115
599,3116
600,3117
601,3118
602,3119
603,3120
604,3121
605,3122
606,3123
607,3124
608,3125
609,3126
610,3127
611,3128
612,3129
613,3130
614,3131
615,3132
616,3133
617,3134
618,3135
619,3136
620,3138
621,3139
622,3140
623,3141
624,3142
625,3143
626,3144
627,3145
628,3146
629,3147
630,3149
631,3150
632,3151
633,3152
634,3153
635,3154
636,3155
637,3156
638,3157
639,3158
640,3159
641,3161
642,3162
643,3163
644,3164
645,44132
646,44133
647,44134
648,44135
649,44136
650,44137
651,44138
652,44139
653,44140
654,44141
655,44142
656,3180
657,44144
658,44145
659,44146
660,44147
661,44148
662,3181
663,3182
664,3183
665,3184
666,3185
667,3187
668,3189
669,3190
670,3191
671,3193
672,3194
673,3195
674,3196
675,3197
676,3198
677,3199
678,3201
679,3202
680,3203
681,3204
682,3205
683,3206
684,3207
685,3208
686,3209
687,3210
688,3211
689,3212
690,3213
691,3215
692,3216
693,3217
694,3218
695,3219
696,3220
